"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]"
"Pudasjärvi airfield","2000","1","1","02:00","-9.9"
"Pudasjärvi airfield","2000","1","2","02:00","-7.4"
"Pudasjärvi airfield","2000","1","3","02:00","-5.6"
"Pudasjärvi airfield","2000","1","4","02:00","-5.1"
"Pudasjärvi airfield","2000","1","5","02:00","-7.9"
"Pudasjärvi airfield","2000","1","6","02:00","-4.8"
"Pudasjärvi airfield","2000","1","7","02:00","0.6"
"Pudasjärvi airfield","2000","1","8","02:00","0.3"
"Pudasjärvi airfield","2000","1","9","02:00","1"
"Pudasjärvi airfield","2000","1","10","02:00","-3.4"
"Pudasjärvi airfield","2000","1","11","02:00","-3.1"
"Pudasjärvi airfield","2000","1","12","02:00","-1.8"
"Pudasjärvi airfield","2000","1","13","02:00","-4.7"
"Pudasjärvi airfield","2000","1","14","02:00","-10"
"Pudasjärvi airfield","2000","1","15","02:00","-6.1"
"Pudasjärvi airfield","2000","1","16","02:00","-3.6"
"Pudasjärvi airfield","2000","1","17","02:00","-5.7"
"Pudasjärvi airfield","2000","1","18","02:00","-12.7"
"Pudasjärvi airfield","2000","1","19","02:00","-16"
"Pudasjärvi airfield","2000","1","20","02:00","-26.4"
"Pudasjärvi airfield","2000","1","21","02:00","-14"
"Pudasjärvi airfield","2000","1","22","02:00","-21"
"Pudasjärvi airfield","2000","1","23","02:00","-21.8"
"Pudasjärvi airfield","2000","1","24","02:00","-27.9"
"Pudasjärvi airfield","2000","1","25","02:00","-11.4"
"Pudasjärvi airfield","2000","1","26","02:00","-5.6"
"Pudasjärvi airfield","2000","1","27","02:00","-12.5"
"Pudasjärvi airfield","2000","1","28","02:00","-17.1"
"Pudasjärvi airfield","2000","1","29","02:00","-10.5"
"Pudasjärvi airfield","2000","1","30","02:00","-0.5"
"Pudasjärvi airfield","2000","1","31","02:00","-8.3"
"Pudasjärvi airfield","2000","2","1","02:00","-6.4"
"Pudasjärvi airfield","2000","2","2","02:00","-11.2"
"Pudasjärvi airfield","2000","2","3","02:00","-15.1"
"Pudasjärvi airfield","2000","2","4","02:00","-11.4"
"Pudasjärvi airfield","2000","2","5","02:00","-12.4"
"Pudasjärvi airfield","2000","2","6","02:00","-5.3"
"Pudasjärvi airfield","2000","2","7","02:00","-2"
"Pudasjärvi airfield","2000","2","8","02:00","0.2"
"Pudasjärvi airfield","2000","2","9","02:00","-8.5"
"Pudasjärvi airfield","2000","2","10","02:00","-6.8"
"Pudasjärvi airfield","2000","2","11","02:00","0.8"
"Pudasjärvi airfield","2000","2","12","02:00","-1.1"
"Pudasjärvi airfield","2000","2","13","02:00","0.7"
"Pudasjärvi airfield","2000","2","14","02:00","-1.3"
"Pudasjärvi airfield","2000","2","15","02:00","-5"
"Pudasjärvi airfield","2000","2","16","02:00","-8.6"
"Pudasjärvi airfield","2000","2","17","02:00","-5.3"
"Pudasjärvi airfield","2000","2","18","02:00","-6.4"
"Pudasjärvi airfield","2000","2","19","02:00","-5.8"
"Pudasjärvi airfield","2000","2","20","02:00","-11.2"
"Pudasjärvi airfield","2000","2","21","02:00","-16.6"
"Pudasjärvi airfield","2000","2","22","02:00","-16.7"
"Pudasjärvi airfield","2000","2","23","02:00","-21.4"
"Pudasjärvi airfield","2000","2","24","02:00","-15.9"
"Pudasjärvi airfield","2000","2","25","02:00","-15.1"
"Pudasjärvi airfield","2000","2","26","02:00","-14.7"
"Pudasjärvi airfield","2000","2","27","02:00","-6.2"
"Pudasjärvi airfield","2000","2","28","02:00","0.1"
"Pudasjärvi airfield","2000","2","29","02:00","-9.3"
"Pudasjärvi airfield","2000","3","1","02:00","-1.1"
"Pudasjärvi airfield","2000","3","2","02:00","-4.1"
"Pudasjärvi airfield","2000","3","3","02:00","-9.6"
"Pudasjärvi airfield","2000","3","4","02:00","-6.2"
"Pudasjärvi airfield","2000","3","5","02:00","-8.2"
"Pudasjärvi airfield","2000","3","6","02:00","-13.3"
"Pudasjärvi airfield","2000","3","7","02:00","-6.7"
"Pudasjärvi airfield","2000","3","8","02:00","-9.1"
"Pudasjärvi airfield","2000","3","9","02:00","-5.9"
"Pudasjärvi airfield","2000","3","10","02:00","-5.6"
"Pudasjärvi airfield","2000","3","11","02:00","-9.2"
"Pudasjärvi airfield","2000","3","12","02:00","-10.1"
"Pudasjärvi airfield","2000","3","13","02:00","-4.4"
"Pudasjärvi airfield","2000","3","14","02:00","-2"
"Pudasjärvi airfield","2000","3","15","02:00","-4.9"
"Pudasjärvi airfield","2000","3","16","02:00","-6.1"
"Pudasjärvi airfield","2000","3","17","02:00","-8"
"Pudasjärvi airfield","2000","3","18","02:00","-3.2"
"Pudasjärvi airfield","2000","3","19","02:00","-1.4"
"Pudasjärvi airfield","2000","3","20","02:00","2.3"
"Pudasjärvi airfield","2000","3","21","02:00","-1.9"
"Pudasjärvi airfield","2000","3","22","02:00","-4.4"
"Pudasjärvi airfield","2000","3","23","02:00","-5.6"
"Pudasjärvi airfield","2000","3","24","02:00","-3.7"
"Pudasjärvi airfield","2000","3","25","02:00","-7"
"Pudasjärvi airfield","2000","3","26","02:00","-8.8"
"Pudasjärvi airfield","2000","3","27","03:00","-9.1"
"Pudasjärvi airfield","2000","3","28","03:00","-5"
"Pudasjärvi airfield","2000","3","29","03:00","-1.3"
"Pudasjärvi airfield","2000","3","30","03:00","4.1"
"Pudasjärvi airfield","2000","3","31","03:00","0"
"Pudasjärvi airfield","2000","4","1","03:00","-3.6"
"Pudasjärvi airfield","2000","4","2","03:00","-8.3"
"Pudasjärvi airfield","2000","4","3","03:00","-8.8"
"Pudasjärvi airfield","2000","4","4","03:00","-1.3"
"Pudasjärvi airfield","2000","4","5","03:00","0.1"
"Pudasjärvi airfield","2000","4","6","03:00","-2"
"Pudasjärvi airfield","2000","4","7","03:00","-1.3"
"Pudasjärvi airfield","2000","4","8","03:00","-3.9"
"Pudasjärvi airfield","2000","4","9","03:00","-0.2"
"Pudasjärvi airfield","2000","4","10","03:00","2.5"
"Pudasjärvi airfield","2000","4","11","03:00","3.3"
"Pudasjärvi airfield","2000","4","12","03:00","1.1"
"Pudasjärvi airfield","2000","4","13","03:00","3"
"Pudasjärvi airfield","2000","4","14","03:00","0.7"
"Pudasjärvi airfield","2000","4","15","03:00","1.7"
"Pudasjärvi airfield","2000","4","16","03:00","1.5"
"Pudasjärvi airfield","2000","4","17","03:00","2.6"
"Pudasjärvi airfield","2000","4","18","03:00","3.3"
"Pudasjärvi airfield","2000","4","19","03:00","5.8"
"Pudasjärvi airfield","2000","4","20","03:00","4.3"
"Pudasjärvi airfield","2000","4","21","03:00","5.3"
"Pudasjärvi airfield","2000","4","22","03:00","6.3"
"Pudasjärvi airfield","2000","4","23","03:00","3.4"
"Pudasjärvi airfield","2000","4","24","03:00","4"
"Pudasjärvi airfield","2000","4","25","03:00","3.1"
"Pudasjärvi airfield","2000","4","26","03:00","2.9"
"Pudasjärvi airfield","2000","4","27","03:00","1.6"
"Pudasjärvi airfield","2000","4","28","03:00","2.7"
"Pudasjärvi airfield","2000","4","29","03:00","3"
"Pudasjärvi airfield","2000","4","30","03:00","0.4"
"Pudasjärvi airfield","2000","5","1","03:00","0.8"
"Pudasjärvi airfield","2000","5","2","03:00","4.3"
"Pudasjärvi airfield","2000","5","3","03:00","6.7"
"Pudasjärvi airfield","2000","5","4","03:00","4.5"
"Pudasjärvi airfield","2000","5","5","03:00","5.9"
"Pudasjärvi airfield","2000","5","6","03:00","2.8"
"Pudasjärvi airfield","2000","5","7","03:00","4"
"Pudasjärvi airfield","2000","5","8","03:00","6.7"
"Pudasjärvi airfield","2000","5","9","03:00","7.9"
"Pudasjärvi airfield","2000","5","10","03:00","9.5"
"Pudasjärvi airfield","2000","5","11","03:00","3.4"
"Pudasjärvi airfield","2000","5","12","03:00","0.4"
"Pudasjärvi airfield","2000","5","13","03:00","1.8"
"Pudasjärvi airfield","2000","5","14","03:00","3.4"
"Pudasjärvi airfield","2000","5","15","03:00","3.6"
"Pudasjärvi airfield","2000","5","16","03:00","4.8"
"Pudasjärvi airfield","2000","5","17","03:00","8.5"
"Pudasjärvi airfield","2000","5","18","03:00","10.1"
"Pudasjärvi airfield","2000","5","19","03:00","16.1"
"Pudasjärvi airfield","2000","5","20","03:00","17.3"
"Pudasjärvi airfield","2000","5","21","03:00","13.9"
"Pudasjärvi airfield","2000","5","22","03:00","14.4"
"Pudasjärvi airfield","2000","5","23","03:00","14.1"
"Pudasjärvi airfield","2000","5","24","03:00","12.7"
"Pudasjärvi airfield","2000","5","25","03:00","11.9"
"Pudasjärvi airfield","2000","5","26","03:00","10.9"
"Pudasjärvi airfield","2000","5","27","03:00","7.7"
"Pudasjärvi airfield","2000","5","28","03:00","8.8"
"Pudasjärvi airfield","2000","5","29","03:00","12.8"
"Pudasjärvi airfield","2000","5","30","03:00","12.2"
"Pudasjärvi airfield","2000","5","31","03:00","11.6"
"Pudasjärvi airfield","2000","6","1","03:00","9.8"
"Pudasjärvi airfield","2000","6","2","03:00","11"
"Pudasjärvi airfield","2000","6","3","03:00","8.3"
"Pudasjärvi airfield","2000","6","4","03:00","5.7"
"Pudasjärvi airfield","2000","6","5","03:00","9.2"
"Pudasjärvi airfield","2000","6","6","03:00","11.3"
"Pudasjärvi airfield","2000","6","7","03:00","12.6"
"Pudasjärvi airfield","2000","6","8","03:00","12.7"
"Pudasjärvi airfield","2000","6","9","03:00","10.6"
"Pudasjärvi airfield","2000","6","10","03:00","13.9"
"Pudasjärvi airfield","2000","6","11","03:00","14.4"
"Pudasjärvi airfield","2000","6","12","03:00","12.3"
"Pudasjärvi airfield","2000","6","13","03:00","10.9"
"Pudasjärvi airfield","2000","6","14","03:00","10.5"
"Pudasjärvi airfield","2000","6","15","03:00","8.3"
"Pudasjärvi airfield","2000","6","16","03:00","6.2"
"Pudasjärvi airfield","2000","6","17","03:00","7.2"
"Pudasjärvi airfield","2000","6","18","03:00","9.1"
"Pudasjärvi airfield","2000","6","19","03:00","10.9"
"Pudasjärvi airfield","2000","6","20","03:00","13.2"
"Pudasjärvi airfield","2000","6","21","03:00","14.3"
"Pudasjärvi airfield","2000","6","22","03:00","16.5"
"Pudasjärvi airfield","2000","6","23","03:00","16.1"
"Pudasjärvi airfield","2000","6","24","03:00","15.9"
"Pudasjärvi airfield","2000","6","25","03:00","17.8"
"Pudasjärvi airfield","2000","6","26","03:00","17"
"Pudasjärvi airfield","2000","6","27","03:00","19.5"
"Pudasjärvi airfield","2000","6","28","03:00","18.2"
"Pudasjärvi airfield","2000","6","29","03:00","24.3"
"Pudasjärvi airfield","2000","6","30","03:00","24.6"
"Pudasjärvi airfield","2000","7","1","03:00","15"
"Pudasjärvi airfield","2000","7","2","03:00","12.3"
"Pudasjärvi airfield","2000","7","3","03:00","10.8"
"Pudasjärvi airfield","2000","7","4","03:00","13.6"
"Pudasjärvi airfield","2000","7","5","03:00","14.1"
"Pudasjärvi airfield","2000","7","6","03:00","14.1"
"Pudasjärvi airfield","2000","7","7","03:00","13.4"
"Pudasjärvi airfield","2000","7","8","03:00","14.4"
"Pudasjärvi airfield","2000","7","9","03:00","14.8"
"Pudasjärvi airfield","2000","7","10","03:00","14.2"
"Pudasjärvi airfield","2000","7","11","03:00","16"
"Pudasjärvi airfield","2000","7","12","03:00","18.6"
"Pudasjärvi airfield","2000","7","13","03:00","18.2"
"Pudasjärvi airfield","2000","7","14","03:00","17.2"
"Pudasjärvi airfield","2000","7","15","03:00","18.7"
"Pudasjärvi airfield","2000","7","16","03:00","20.3"
"Pudasjärvi airfield","2000","7","17","03:00","17.8"
"Pudasjärvi airfield","2000","7","18","03:00","19.5"
"Pudasjärvi airfield","2000","7","19","03:00","22.8"
"Pudasjärvi airfield","2000","7","20","03:00","19.1"
"Pudasjärvi airfield","2000","7","21","03:00","19.3"
"Pudasjärvi airfield","2000","7","22","03:00","20.2"
"Pudasjärvi airfield","2000","7","23","03:00","20.6"
"Pudasjärvi airfield","2000","7","24","03:00","18.6"
"Pudasjärvi airfield","2000","7","25","03:00","13"
"Pudasjärvi airfield","2000","7","26","03:00","12.9"
"Pudasjärvi airfield","2000","7","27","03:00","15.3"
"Pudasjärvi airfield","2000","7","28","03:00","16.6"
"Pudasjärvi airfield","2000","7","29","03:00","19.7"
"Pudasjärvi airfield","2000","7","30","03:00","19.4"
"Pudasjärvi airfield","2000","7","31","03:00","18.5"
"Pudasjärvi airfield","2000","8","1","03:00","17.6"
"Pudasjärvi airfield","2000","8","2","03:00","12.4"
"Pudasjärvi airfield","2000","8","3","03:00","12.5"
"Pudasjärvi airfield","2000","8","4","03:00","13.4"
"Pudasjärvi airfield","2000","8","5","03:00","15.3"
"Pudasjärvi airfield","2000","8","6","03:00","15.1"
"Pudasjärvi airfield","2000","8","7","03:00","13.8"
"Pudasjärvi airfield","2000","8","8","03:00","12.3"
"Pudasjärvi airfield","2000","8","9","03:00","11.5"
"Pudasjärvi airfield","2000","8","10","03:00","11.4"
"Pudasjärvi airfield","2000","8","11","03:00","12.9"
"Pudasjärvi airfield","2000","8","12","03:00","12.7"
"Pudasjärvi airfield","2000","8","13","03:00","13.6"
"Pudasjärvi airfield","2000","8","14","03:00","12.6"
"Pudasjärvi airfield","2000","8","15","03:00","12.6"
"Pudasjärvi airfield","2000","8","16","03:00","12.5"
"Pudasjärvi airfield","2000","8","17","03:00","12.6"
"Pudasjärvi airfield","2000","8","18","03:00","13.2"
"Pudasjärvi airfield","2000","8","19","03:00","11.9"
"Pudasjärvi airfield","2000","8","20","03:00","11.1"
"Pudasjärvi airfield","2000","8","21","03:00","9.4"
"Pudasjärvi airfield","2000","8","22","03:00","11.5"
"Pudasjärvi airfield","2000","8","23","03:00","12.8"
"Pudasjärvi airfield","2000","8","24","03:00","13"
"Pudasjärvi airfield","2000","8","25","03:00","11.8"
"Pudasjärvi airfield","2000","8","26","03:00","12.5"
"Pudasjärvi airfield","2000","8","27","03:00","14.4"
"Pudasjärvi airfield","2000","8","28","03:00","15.4"
"Pudasjärvi airfield","2000","8","29","03:00","14.6"
"Pudasjärvi airfield","2000","8","30","03:00","14.9"
"Pudasjärvi airfield","2000","8","31","03:00","14.9"
"Pudasjärvi airfield","2000","9","1","03:00","11.9"
"Pudasjärvi airfield","2000","9","2","03:00","10.5"
"Pudasjärvi airfield","2000","9","3","03:00","10.1"
"Pudasjärvi airfield","2000","9","4","03:00","5.8"
"Pudasjärvi airfield","2000","9","5","03:00","3.9"
"Pudasjärvi airfield","2000","9","6","03:00","3.3"
"Pudasjärvi airfield","2000","9","7","03:00","4.9"
"Pudasjärvi airfield","2000","9","8","03:00","7.4"
"Pudasjärvi airfield","2000","9","9","03:00","10.5"
"Pudasjärvi airfield","2000","9","10","03:00","9.9"
"Pudasjärvi airfield","2000","9","11","03:00","9"
"Pudasjärvi airfield","2000","9","12","03:00","8.3"
"Pudasjärvi airfield","2000","9","13","03:00","6.7"
"Pudasjärvi airfield","2000","9","14","03:00","4.6"
"Pudasjärvi airfield","2000","9","15","03:00","5.8"
"Pudasjärvi airfield","2000","9","16","03:00","6.8"
"Pudasjärvi airfield","2000","9","17","03:00","8.7"
"Pudasjärvi airfield","2000","9","18","03:00","10.1"
"Pudasjärvi airfield","2000","9","19","03:00","9.8"
"Pudasjärvi airfield","2000","9","20","03:00","5.1"
"Pudasjärvi airfield","2000","9","21","03:00","6.5"
"Pudasjärvi airfield","2000","9","22","03:00","7.7"
"Pudasjärvi airfield","2000","9","23","03:00","8.1"
"Pudasjärvi airfield","2000","9","24","03:00","8.9"
"Pudasjärvi airfield","2000","9","25","03:00","7.2"
"Pudasjärvi airfield","2000","9","26","03:00","4.3"
"Pudasjärvi airfield","2000","9","27","03:00","5.3"
"Pudasjärvi airfield","2000","9","28","03:00","6.7"
"Pudasjärvi airfield","2000","9","29","03:00","8.1"
"Pudasjärvi airfield","2000","9","30","03:00","11.3"
"Pudasjärvi airfield","2000","10","1","03:00","11"
"Pudasjärvi airfield","2000","10","2","03:00","9.3"
"Pudasjärvi airfield","2000","10","3","03:00","9.6"
"Pudasjärvi airfield","2000","10","4","03:00","9.6"
"Pudasjärvi airfield","2000","10","5","03:00","9.7"
"Pudasjärvi airfield","2000","10","6","03:00","10.8"
"Pudasjärvi airfield","2000","10","7","03:00","10.3"
"Pudasjärvi airfield","2000","10","8","03:00","9.8"
"Pudasjärvi airfield","2000","10","9","03:00","11.1"
"Pudasjärvi airfield","2000","10","10","03:00","7.4"
"Pudasjärvi airfield","2000","10","11","03:00","6.7"
"Pudasjärvi airfield","2000","10","12","03:00","5.6"
"Pudasjärvi airfield","2000","10","13","03:00","8.1"
"Pudasjärvi airfield","2000","10","14","03:00","7.2"
"Pudasjärvi airfield","2000","10","15","03:00","4.2"
"Pudasjärvi airfield","2000","10","16","03:00","6.4"
"Pudasjärvi airfield","2000","10","17","03:00","8.3"
"Pudasjärvi airfield","2000","10","18","03:00","7.7"
"Pudasjärvi airfield","2000","10","19","03:00","8.3"
"Pudasjärvi airfield","2000","10","20","03:00","7.8"
"Pudasjärvi airfield","2000","10","21","03:00","7.3"
"Pudasjärvi airfield","2000","10","22","03:00","6.9"
"Pudasjärvi airfield","2000","10","23","03:00","2.6"
"Pudasjärvi airfield","2000","10","24","03:00","5.4"
"Pudasjärvi airfield","2000","10","25","03:00","6"
"Pudasjärvi airfield","2000","10","26","03:00","0.8"
"Pudasjärvi airfield","2000","10","27","03:00","0.6"
"Pudasjärvi airfield","2000","10","28","03:00","-3.6"
"Pudasjärvi airfield","2000","10","29","03:00","-6.3"
"Pudasjärvi airfield","2000","10","30","02:00","-5.2"
"Pudasjärvi airfield","2000","10","31","02:00","-3.1"
"Pudasjärvi airfield","2000","11","1","02:00","-0.6"
"Pudasjärvi airfield","2000","11","2","02:00","0.1"
"Pudasjärvi airfield","2000","11","3","02:00","-2.4"
"Pudasjärvi airfield","2000","11","4","02:00","2.4"
"Pudasjärvi airfield","2000","11","5","02:00","5.5"
"Pudasjärvi airfield","2000","11","6","02:00","5.3"
"Pudasjärvi airfield","2000","11","7","02:00","3.1"
"Pudasjärvi airfield","2000","11","8","02:00","3.3"
"Pudasjärvi airfield","2000","11","9","02:00","5.2"
"Pudasjärvi airfield","2000","11","10","02:00","3.7"
"Pudasjärvi airfield","2000","11","11","02:00","1.7"
"Pudasjärvi airfield","2000","11","12","02:00","2.4"
"Pudasjärvi airfield","2000","11","13","02:00","3.8"
"Pudasjärvi airfield","2000","11","14","02:00","2.7"
"Pudasjärvi airfield","2000","11","15","02:00","2.4"
"Pudasjärvi airfield","2000","11","16","02:00","0.4"
"Pudasjärvi airfield","2000","11","17","02:00","-1.8"
"Pudasjärvi airfield","2000","11","18","02:00","-2.7"
"Pudasjärvi airfield","2000","11","19","02:00","-3.3"
"Pudasjärvi airfield","2000","11","20","02:00","-6.1"
"Pudasjärvi airfield","2000","11","21","02:00","-9.7"
"Pudasjärvi airfield","2000","11","22","02:00","-12.3"
"Pudasjärvi airfield","2000","11","23","02:00","-4.2"
"Pudasjärvi airfield","2000","11","24","02:00","1.2"
"Pudasjärvi airfield","2000","11","25","02:00","0.7"
"Pudasjärvi airfield","2000","11","26","02:00","-0.3"
"Pudasjärvi airfield","2000","11","27","02:00","-0.4"
"Pudasjärvi airfield","2000","11","28","02:00","-1.3"
"Pudasjärvi airfield","2000","11","29","02:00","-2.8"
"Pudasjärvi airfield","2000","11","30","02:00","-1.5"
"Pudasjärvi airfield","2000","12","1","02:00","-1.5"
"Pudasjärvi airfield","2000","12","2","02:00","-1.7"
"Pudasjärvi airfield","2000","12","3","02:00","-1.3"
"Pudasjärvi airfield","2000","12","4","02:00","-4.1"
"Pudasjärvi airfield","2000","12","5","02:00","-1.7"
"Pudasjärvi airfield","2000","12","6","02:00","3.7"
"Pudasjärvi airfield","2000","12","7","02:00","4.6"
"Pudasjärvi airfield","2000","12","8","02:00","2.2"
"Pudasjärvi airfield","2000","12","9","02:00","-5.5"
"Pudasjärvi airfield","2000","12","10","02:00","-4.9"
"Pudasjärvi airfield","2000","12","11","02:00","1.2"
"Pudasjärvi airfield","2000","12","12","02:00","2.6"
"Pudasjärvi airfield","2000","12","13","02:00","-0.4"
"Pudasjärvi airfield","2000","12","14","02:00","0"
"Pudasjärvi airfield","2000","12","15","02:00","-0.1"
"Pudasjärvi airfield","2000","12","16","02:00","-0.4"
"Pudasjärvi airfield","2000","12","17","02:00","-3.3"
"Pudasjärvi airfield","2000","12","18","02:00","-3.5"
"Pudasjärvi airfield","2000","12","19","02:00","-9.8"
"Pudasjärvi airfield","2000","12","20","02:00","-14.2"
"Pudasjärvi airfield","2000","12","21","02:00","-10"
"Pudasjärvi airfield","2000","12","22","02:00","-2.7"
"Pudasjärvi airfield","2000","12","23","02:00","-6.8"
"Pudasjärvi airfield","2000","12","24","02:00","-18.2"
"Pudasjärvi airfield","2000","12","25","02:00","-25.8"
"Pudasjärvi airfield","2000","12","26","02:00","-23.6"
"Pudasjärvi airfield","2000","12","27","02:00","-16.9"
"Pudasjärvi airfield","2000","12","28","02:00","-13.2"
"Pudasjärvi airfield","2000","12","29","02:00","-12.5"
"Pudasjärvi airfield","2000","12","30","02:00","-7.9"
"Pudasjärvi airfield","2000","12","31","02:00","-8.2"
"Pudasjärvi airfield","2001","1","1","02:00","-5.8"
"Pudasjärvi airfield","2001","1","2","02:00","-2.8"
"Pudasjärvi airfield","2001","1","3","02:00","-4.8"
"Pudasjärvi airfield","2001","1","4","02:00","-4.7"
"Pudasjärvi airfield","2001","1","5","02:00","-5"
"Pudasjärvi airfield","2001","1","6","02:00","-5"
"Pudasjärvi airfield","2001","1","7","02:00","-5.7"
"Pudasjärvi airfield","2001","1","8","02:00","-5.4"
"Pudasjärvi airfield","2001","1","9","02:00","-4.2"
"Pudasjärvi airfield","2001","1","10","02:00","-1.7"
"Pudasjärvi airfield","2001","1","11","02:00","-5.6"
"Pudasjärvi airfield","2001","1","12","02:00","-12.2"
"Pudasjärvi airfield","2001","1","13","02:00","-8.7"
"Pudasjärvi airfield","2001","1","14","02:00","-3"
"Pudasjärvi airfield","2001","1","15","02:00","0.6"
"Pudasjärvi airfield","2001","1","16","02:00","-1.2"
"Pudasjärvi airfield","2001","1","17","02:00","-6.9"
"Pudasjärvi airfield","2001","1","18","02:00","-4.2"
"Pudasjärvi airfield","2001","1","19","02:00","-1.3"
"Pudasjärvi airfield","2001","1","20","02:00","-14.1"
"Pudasjärvi airfield","2001","1","21","02:00","-13.4"
"Pudasjärvi airfield","2001","1","22","02:00","-6.6"
"Pudasjärvi airfield","2001","1","23","02:00","-9"
"Pudasjärvi airfield","2001","1","24","02:00","-11.4"
"Pudasjärvi airfield","2001","1","25","02:00","-5.8"
"Pudasjärvi airfield","2001","1","26","02:00","-0.7"
"Pudasjärvi airfield","2001","1","27","02:00","-1.3"
"Pudasjärvi airfield","2001","1","28","02:00","-2.9"
"Pudasjärvi airfield","2001","1","29","02:00","-7.6"
"Pudasjärvi airfield","2001","1","30","02:00","-11.4"
"Pudasjärvi airfield","2001","1","31","02:00","-12.1"
"Pudasjärvi airfield","2001","2","1","02:00","-17.5"
"Pudasjärvi airfield","2001","2","2","02:00","-22.4"
"Pudasjärvi airfield","2001","2","3","02:00","-23.6"
"Pudasjärvi airfield","2001","2","4","02:00","-21"
"Pudasjärvi airfield","2001","2","5","02:00","-17"
"Pudasjärvi airfield","2001","2","6","02:00","-15.7"
"Pudasjärvi airfield","2001","2","7","02:00","-13.2"
"Pudasjärvi airfield","2001","2","8","02:00","-1.8"
"Pudasjärvi airfield","2001","2","9","02:00","-12.5"
"Pudasjärvi airfield","2001","2","10","02:00","-11.1"
"Pudasjärvi airfield","2001","2","11","02:00","-5.6"
"Pudasjärvi airfield","2001","2","12","02:00","-4.4"
"Pudasjärvi airfield","2001","2","13","02:00","-5.9"
"Pudasjärvi airfield","2001","2","14","02:00","0.8"
"Pudasjärvi airfield","2001","2","15","02:00","-1.6"
"Pudasjärvi airfield","2001","2","16","02:00","-6.3"
"Pudasjärvi airfield","2001","2","17","02:00","-3.1"
"Pudasjärvi airfield","2001","2","18","02:00","-3.4"
"Pudasjärvi airfield","2001","2","19","02:00","-5.7"
"Pudasjärvi airfield","2001","2","20","02:00","-7.6"
"Pudasjärvi airfield","2001","2","21","02:00","-15.7"
"Pudasjärvi airfield","2001","2","22","02:00","-21.9"
"Pudasjärvi airfield","2001","2","23","02:00","-23.6"
"Pudasjärvi airfield","2001","2","24","02:00","-20.6"
"Pudasjärvi airfield","2001","2","25","02:00","-20.7"
"Pudasjärvi airfield","2001","2","26","02:00","-19"
"Pudasjärvi airfield","2001","2","27","02:00","-17.8"
"Pudasjärvi airfield","2001","2","28","02:00","-17.7"
"Pudasjärvi airfield","2001","3","1","02:00","-18.3"
"Pudasjärvi airfield","2001","3","2","02:00","-16.1"
"Pudasjärvi airfield","2001","3","3","02:00","-11.5"
"Pudasjärvi airfield","2001","3","4","02:00","-13.7"
"Pudasjärvi airfield","2001","3","5","02:00","-9.8"
"Pudasjärvi airfield","2001","3","6","02:00","-14.7"
"Pudasjärvi airfield","2001","3","7","02:00","-10.1"
"Pudasjärvi airfield","2001","3","8","02:00","-12.9"
"Pudasjärvi airfield","2001","3","9","02:00","-4.6"
"Pudasjärvi airfield","2001","3","10","02:00","-3.5"
"Pudasjärvi airfield","2001","3","11","02:00","-4.9"
"Pudasjärvi airfield","2001","3","12","02:00","-6.5"
"Pudasjärvi airfield","2001","3","13","02:00","-7.6"
"Pudasjärvi airfield","2001","3","14","02:00","-4.4"
"Pudasjärvi airfield","2001","3","15","02:00","-6.3"
"Pudasjärvi airfield","2001","3","16","02:00","-9.2"
"Pudasjärvi airfield","2001","3","17","02:00","-12.8"
"Pudasjärvi airfield","2001","3","18","02:00","-10.6"
"Pudasjärvi airfield","2001","3","19","02:00","-12.2"
"Pudasjärvi airfield","2001","3","20","02:00","-12"
"Pudasjärvi airfield","2001","3","21","02:00","-15.9"
"Pudasjärvi airfield","2001","3","22","02:00","-15.9"
"Pudasjärvi airfield","2001","3","23","02:00","-10.2"
"Pudasjärvi airfield","2001","3","24","02:00","-8.6"
"Pudasjärvi airfield","2001","3","25","02:00","-11.3"
"Pudasjärvi airfield","2001","3","26","03:00","-10.9"
"Pudasjärvi airfield","2001","3","27","03:00","-15.8"
"Pudasjärvi airfield","2001","3","28","03:00","-13.4"
"Pudasjärvi airfield","2001","3","29","03:00","-5.3"
"Pudasjärvi airfield","2001","3","30","03:00","-0.9"
"Pudasjärvi airfield","2001","3","31","03:00","-0.4"
"Pudasjärvi airfield","2001","4","1","03:00","-0.6"
"Pudasjärvi airfield","2001","4","2","03:00","1.3"
"Pudasjärvi airfield","2001","4","3","03:00","-0.6"
"Pudasjärvi airfield","2001","4","4","03:00","-4.9"
"Pudasjärvi airfield","2001","4","5","03:00","0.6"
"Pudasjärvi airfield","2001","4","6","03:00","3.8"
"Pudasjärvi airfield","2001","4","7","03:00","2.5"
"Pudasjärvi airfield","2001","4","8","03:00","4"
"Pudasjärvi airfield","2001","4","9","03:00","2.9"
"Pudasjärvi airfield","2001","4","10","03:00","-0.5"
"Pudasjärvi airfield","2001","4","11","03:00","-2.1"
"Pudasjärvi airfield","2001","4","12","03:00","-3.6"
"Pudasjärvi airfield","2001","4","13","03:00","-4"
"Pudasjärvi airfield","2001","4","14","03:00","-4.7"
"Pudasjärvi airfield","2001","4","15","03:00","-2.9"
"Pudasjärvi airfield","2001","4","16","03:00","-0.2"
"Pudasjärvi airfield","2001","4","17","03:00","0.3"
"Pudasjärvi airfield","2001","4","18","03:00","1.1"
"Pudasjärvi airfield","2001","4","19","03:00","1.8"
"Pudasjärvi airfield","2001","4","20","03:00","0.9"
